STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_013,Area,CEN23_WRD_003,Weekly rent paid by household,CEN23_TIH_001,Total household income,CEN23_HOH_002,Household composition,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,01,Under $200,99,Total - total household income,2,Two-family household (with or without other people),138,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,15,Southland Region,777,Total stated - weekly rent paid by household,99,Total - total household income,77,Total stated - household composition,9357,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,777,Total stated - weekly rent paid by household,99,Total - total household income,2,Two-family household (with or without other people),,,c,Confidential
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,15,Southland Region,99,Not elsewhere included,99,Total - total household income,4,Other multi-person household,9,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,08,$800 and over,99,Total - total household income,99,Total - household composition,2199,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,01,Northland Region,04,$400 - $499,99,Total - total household income,77,Total stated - household composition,3390,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,777,Total stated - weekly rent paid by household,99,Total - total household income,77,Total stated - household composition,15462,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,17,Nelson Region,99,Not elsewhere included,99,Total - total household income,6,Household composition unidentifiable,9,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,09,Wellington Region,777,Total stated - weekly rent paid by household,99,Total - total household income,3,Three or more family household (with or without other people),102,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,08,Manawatū-Whanganui Region,01,Under $200,99,Total - total household income,6,Household composition unidentifiable,489,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,99,Not elsewhere included,99,Total - total household income,77,Total stated - household composition,210,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,05,$500 - $599,99,Total - total household income,4,Other multi-person household,624,,,
