census_year,area_code,area,household_type,annual_household_income_band,Total - weekly rent paid by household,Under $200,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 - $699,$700 - $799,$800 and over,Total stated - weekly rent paid by household,Not elsewhere included
2023,17,Nelson Region,Other multi-person household,"$100,001-$150,000",102,6,3,18,36,24,15,3,3,102,0
2023,17,Nelson Region,One-person household,"$100,001-$150,000",48,3,3,12,18,9,9,0,0,48,0
2023,17,Nelson Region,Total stated - household composition,"$100,001-$150,000",1008,36,30,132,351,276,144,21,15,1005,6
2023,17,Nelson Region,Household composition unidentifiable,"$100,001-$150,000",6,3,0,0,3,3,0,0,0,6,0
2023,17,Nelson Region,Total - household composition,"$150,001-$200,000",390,15,18,33,78,150,75,12,12,387,3
2023,17,Nelson Region,One-family household (with or without other people),"$150,001-$200,000",300,6,12,24,63,117,57,12,6,300,0
2023,17,Nelson Region,Two-family household (with or without other people),"$150,001-$200,000",24,3,0,3,6,6,3,0,0,24,0
2023,17,Nelson Region,Three or more family household (with or without other people),"$150,001-$200,000",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Other multi-person household,"$150,001-$200,000",51,3,0,3,6,18,9,3,3,51,0
2023,17,Nelson Region,One-person household,"$150,001-$200,000",12,0,0,0,6,3,6,0,0,12,0
2023,17,Nelson Region,Total stated - household composition,"$150,001-$200,000",384,12,18,30,78,147,75,12,12,384,0
2023,17,Nelson Region,Household composition unidentifiable,"$150,001-$200,000",3,3,0,0,0,0,0,0,0,3,3
2023,17,Nelson Region,Total - household composition,"$200,001 or more",282,12,12,15,39,81,75,21,24,282,0
2023,17,Nelson Region,One-family household (with or without other people),"$200,001 or more",171,9,3,9,18,51,48,18,18,171,0
2023,17,Nelson Region,Two-family household (with or without other people),"$200,001 or more",42,0,3,3,9,12,15,0,3,42,0
2023,17,Nelson Region,Three or more family household (with or without other people),"$200,001 or more",3,0,0,0,0,0,0,0,0,3,0
2023,17,Nelson Region,Other multi-person household,"$200,001 or more",51,3,3,0,6,12,9,3,6,48,0
2023,17,Nelson Region,One-person household,"$200,001 or more",12,0,0,0,0,3,6,0,3,12,0
2023,17,Nelson Region,Total stated - household composition,"$200,001 or more",276,9,9,15,39,78,75,21,24,273,0
2023,17,Nelson Region,Household composition unidentifiable,"$200,001 or more",9,0,0,0,3,3,0,0,0,9,0
2023,17,Nelson Region,Total - household composition,Total stated - total household income,5370,723,417,972,1497,1110,438,90,75,5322,45
2023,17,Nelson Region,One-family household (with or without other people),Total stated - total household income,3207,267,129,471,1011,867,327,75,42,3186,21
2023,17,Nelson Region,Two-family household (with or without other people),Total stated - total household income,126,21,6,9,27,30,27,0,3,123,0
2023,17,Nelson Region,Three or more family household (with or without other people),Total stated - total household income,3,0,0,0,0,0,0,0,0,3,0
2023,17,Nelson Region,Other multi-person household,Total stated - total household income,465,45,33,72,126,105,51,12,15,459,6
2023,17,Nelson Region,One-person household,Total stated - total household income,1542,381,246,417,321,108,33,3,15,1524,18
2023,17,Nelson Region,Total stated - household composition,Total stated - total household income,5343,717,417,969,1491,1107,438,90,75,5298,45
2023,17,Nelson Region,Household composition unidentifiable,Total stated - total household income,27,6,3,3,9,3,0,0,0,24,3
2023,17,Nelson Region,Total - household composition,Not stated,216,30,12,33,57,60,12,3,3,207,6
2023,17,Nelson Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Household composition unidentifiable,Not stated,216,30,12,33,57,60,12,3,3,207,6
2023,18,Marlborough Region,Total - household composition,Total - total household income,4686,669,699,1032,1233,720,165,48,42,4605,78
2023,18,Marlborough Region,One-family household (with or without other people),Total - total household income,2661,267,291,549,828,534,117,30,18,2634,27
2023,18,Marlborough Region,Two-family household (with or without other people),Total - total household income,102,9,9,15,33,30,6,0,3,102,0
2023,18,Marlborough Region,Three or more family household (with or without other people),Total - total household income,6,0,0,0,0,3,0,0,0,6,0
2023,18,Marlborough Region,Other multi-person household,Total - total household income,339,45,33,78,90,57,15,9,12,333,6
2023,18,Marlborough Region,One-person household,Total - total household income,1320,300,345,321,231,54,15,6,6,1284,36
2023,18,Marlborough Region,Total stated - household composition,Total - total household income,4431,618,678,963,1182,678,153,48,39,4362,69
2023,18,Marlborough Region,Household composition unidentifiable,Total - total household income,258,54,21,69,51,42,9,0,3,249,9
2023,18,Marlborough Region,Total - household composition,"$20,000 or less",417,138,81,72,87,33,3,6,3,414,3
2023,18,Marlborough Region,One-family household (with or without other people),"$20,000 or less",153,39,15,21,48,24,3,3,0,153,0
2023,18,Marlborough Region,Two-family household (with or without other people),"$20,000 or less",3,0,0,0,3,0,0,0,0,3,0
2023,18,Marlborough Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Other multi-person household,"$20,000 or less",12,6,0,3,3,0,0,0,0,12,0
2023,18,Marlborough Region,One-person household,"$20,000 or less",255,96,63,45,33,9,0,0,0,252,3
2023,18,Marlborough Region,Total stated - household composition,"$20,000 or less",417,138,81,72,87,33,3,6,3,414,3
2023,18,Marlborough Region,Household composition unidentifiable,"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Total - household composition,"$20,001-$30,000",480,123,126,99,78,27,3,3,3,465,18
2023,18,Marlborough Region,One-family household (with or without other people),"$20,001-$30,000",114,24,9,24,33,18,0,0,3,114,0
2023,18,Marlborough Region,Two-family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Other multi-person household,"$20,001-$30,000",6,0,0,0,3,0,0,0,0,6,0
2023,18,Marlborough Region,One-person household,"$20,001-$30,000",360,102,114,75,42,9,0,3,3,342,15
2023,18,Marlborough Region,Total stated - household composition,"$20,001-$30,000",480,123,126,99,78,27,3,3,3,465,18
2023,18,Marlborough Region,Household composition unidentifiable,"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Total - household composition,"$30,001-$50,000",753,132,141,204,174,57,12,3,3,726,24
2023,18,Marlborough Region,One-family household (with or without other people),"$30,001-$50,000",378,60,42,90,111,48,9,0,0,366,12
2023,18,Marlborough Region,Two-family household (with or without other people),"$30,001-$50,000",3,0,3,0,0,0,0,0,0,3,0
2023,18,Marlborough Region,Three or more family household (with or without other people),"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Other multi-person household,"$30,001-$50,000",33,6,3,12,6,0,0,0,0,33,0
2023,18,Marlborough Region,One-person household,"$30,001-$50,000",336,60,93,99,57,9,3,0,0,324,12
2023,18,Marlborough Region,Total stated - household composition,"$30,001-$50,000",750,129,141,204,174,57,12,3,3,726,24
2023,18,Marlborough Region,Household composition unidentifiable,"$30,001-$50,000",3,3,0,0,0,0,0,0,0,3,0
2023,18,Marlborough Region,Total - household composition,"$50,001-$70,000",618,81,81,156,180,90,9,6,6,609,9
2023,18,Marlborough Region,One-family household (with or without other people),"$50,001-$70,000",378,36,39,84,126,75,6,6,3,375,3
2023,18,Marlborough Region,Two-family household (with or without other people),"$50,001-$70,000",9,3,0,0,3,0,0,0,0,9,0
2023,18,Marlborough Region,Three or more family household (with or without other people),"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Other multi-person household,"$50,001-$70,000",33,9,3,12,6,3,0,0,0,33,0
2023,18,Marlborough Region,One-person household,"$50,001-$70,000",195,33,36,60,48,12,3,0,0,195,0
2023,18,Marlborough Region,Total stated - household composition,"$50,001-$70,000",615,81,81,156,183,90,9,6,6,609,9
2023,18,Marlborough Region,Household composition unidentifiable,"$50,001-$70,000",0,3,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Total - household composition,"$70,001-$100,000",756,60,117,183,240,117,21,6,9,753,3
2023,18,Marlborough Region,One-family household (with or without other people),"$70,001-$100,000",522,36,69,120,177,90,15,6,3,519,0
2023,18,Marlborough Region,Two-family household (with or without other people),"$70,001-$100,000",15,0,0,0,6,3,0,0,0,12,0
2023,18,Marlborough Region,Three or more family household (with or without other people),"$70,001-$100,000",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Other multi-person household,"$70,001-$100,000",84,9,12,27,21,12,3,0,3,84,0
2023,18,Marlborough Region,One-person household,"$70,001-$100,000",129,6,33,36,39,9,0,0,0,126,0
2023,18,Marlborough Region,Total stated - household composition,"$70,001-$100,000",750,57,114,183,240,114,21,6,9,744,3
2023,18,Marlborough Region,Household composition unidentifiable,"$70,001-$100,000",9,3,3,0,0,3,0,0,0,9,0
2023,18,Marlborough Region,Total - household composition,"$100,001-$150,000",894,63,90,174,285,216,39,12,9,885,6
2023,18,Marlborough Region,One-family household (with or without other people),"$100,001-$150,000",735,48,78,144,240,180,30,9,3,732,3
2023,18,Marlborough Region,Two-family household (with or without other people),"$100,001-$150,000",21,3,0,9,3,6,0,0,0,21,0
2023,18,Marlborough Region,Three or more family household (with or without other people),"$100,001-$150,000",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Other multi-person household,"$100,001-$150,000",96,6,9,18,27,21,3,0,6,93,3
2023,18,Marlborough Region,One-person household,"$100,001-$150,000",30,0,3,3,12,6,3,0,0,30,0
2023,18,Marlborough Region,Total stated - household composition,"$100,001-$150,000",885,57,90,171,285,213,39,12,9,876,6
2023,18,Marlborough Region,Household composition unidentifiable,"$100,001-$150,000",9,3,0,3,0,0,0,0,0,9,0
2023,18,Marlborough Region,Total - household composition,"$150,001-$200,000",345,15,36,54,99,87,39,12,0,345,0
2023,18,Marlborough Region,One-family household (with or without other people),"$150,001-$200,000",261,12,27,48,69,66,33,6,0,261,0
2023,18,Marlborough Region,Two-family household (with or without other people),"$150,001-$200,000",24,0,3,0,6,9,3,0,0,24,0
2023,18,Marlborough Region,Three or more family household (with or without other people),"$150,001-$200,000",3,0,0,0,0,3,0,0,0,3,0
2023,18,Marlborough Region,Other multi-person household,"$150,001-$200,000",39,3,3,6,15,6,3,3,0,39,0
2023,18,Marlborough Region,One-person household,"$150,001-$200,000",9,0,0,0,3,3,3,0,0,9,0
2023,18,Marlborough Region,Total stated - household composition,"$150,001-$200,000",339,15,36,54,96,87,39,12,0,336,0
2023,18,Marlborough Region,Household composition unidentifiable,"$150,001-$200,000",6,0,0,3,3,3,0,0,0,6,0
2023,18,Marlborough Region,Total - household composition,"$200,001 or more",195,15,9,24,42,63,27,9,6,195,0
2023,18,Marlborough Region,One-family household (with or without other people),"$200,001 or more",120,9,9,12,24,39,18,3,3,120,0
2023,18,Marlborough Region,Two-family household (with or without other people),"$200,001 or more",33,3,0,3,9,9,3,0,3,33,0
2023,18,Marlborough Region,Three or more family household (with or without other people),"$200,001 or more",0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Other multi-person household,"$200,001 or more",30,3,0,3,6,12,3,6,0,30,0
2023,18,Marlborough Region,One-person household,"$200,001 or more",3,0,0,0,0,0,0,0,0,3,0
2023,18,Marlborough Region,Total stated - household composition,"$200,001 or more",189,15,9,21,42,60,27,9,6,189,0
2023,18,Marlborough Region,Household composition unidentifiable,"$200,001 or more",6,0,0,0,0,0,0,0,0,6,0
2023,18,Marlborough Region,Total - household composition,Total stated - total household income,4461,624,684,966,1188,687,156,48,39,4395,69
2023,18,Marlborough Region,One-family household (with or without other people),Total stated - total household income,2661,267,291,549,828,534,117,30,18,2634,27
2023,18,Marlborough Region,Two-family household (with or without other people),Total stated - total household income,102,9,9,15,33,30,6,0,3,102,0
2023,18,Marlborough Region,Three or more family household (with or without other people),Total stated - total household income,6,0,0,0,0,3,0,0,0,6,0
2023,18,Marlborough Region,Other multi-person household,Total stated - total household income,339,45,33,78,90,57,15,9,12,333,6
2023,18,Marlborough Region,One-person household,Total stated - total household income,1320,300,345,321,231,54,15,6,6,1284,36
2023,18,Marlborough Region,Total stated - household composition,Total stated - total household income,4431,618,678,963,1182,678,153,48,39,4362,69
2023,18,Marlborough Region,Household composition unidentifiable,Total stated - total household income,33,9,6,3,6,9,0,0,0,33,0
2023,18,Marlborough Region,Total - household composition,Not stated,225,45,15,66,45,33,6,0,3,216,9
2023,18,Marlborough Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,18,Marlborough Region,Household composition unidentifiable,Not stated,225,45,15,66,45,33,6,0,3,216,9
2023,12,West Coast Region,Total - household composition,Total - total household income,3135,1017,840,855,234,57,9,0,27,3036,99
2023,12,West Coast Region,One-family household (with or without other people),Total - total household income,1311,273,330,486,144,39,3,0,3,1281,27
2023,12,West Coast Region,Two-family household (with or without other people),Total - total household income,42,12,12,12,6,3,0,0,0,42,0
